target,ecoli_strain,ncbi_taxid
Glc(a1-3)[Gal(a1-6)]Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOPPEtn(a1-5)[Rha(a1-5)Kdo(a2-4)KdoOPEtn(a2-4)]Kdo,K12,83333
Glc(a1-3)Glc(a1-3)[GlcA(b1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN(b1-6)GlcOPN,K12,83333
QuiNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc(a1-3)Glc,K12,83333
Galf(b1-3)[Gal(a1-2)]Gal(a1-3)Galf,K12/CWG286,83333
Galf(b1-3)[Gal(a1-4)]Gal(a1-3)Galf,K12/CWG286,83333
[GlcA(b1-3)Gal(a1-3)]Man(a1-3)Gal(b1-2)Man,K30,562
NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc,K1,1392869
NeuNAc(a2-3)Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-8)NeuNAc(a2-3)]Gal(b1-4)Glc,K1,1392869
RhaOAc(a1-3)QuiNMal(b1-3)RhaOAc,K10,562
Ribf(b1-2)RibOP-ol(3-5)Ribf,K100,562
Ribf(b1-2)Rib-ol(3-5)Ribf,K100,562
GalNAc(b1-4)[GlcNAc(b1-3)]GlcA(b1-3)Gal(b1-3)GalNAc,K101,562
[GlcNAc(b1-3)]GlcA(b1-3)Gal(b1-3)GalNAc(b1-4)GlcA,K101,562
Gal(b1-4)[Glc(a1-4)GlcA(b1-3)]Gal(a1-4)Gal(b1-3)Gal,K102,562
Gal(a1-4)GalOPyr(a1-3)Rha(a1-3)Gal,K103,562
GalA(a1-3)Man(a1-4)Glc(b1-3)GlcNAc(a1-2)Man(b1-3)ManNAc(b1-4)GalA,K103,562
[Fruf(b2-3)]Glc(b1-4)GlcOP(a1-4)Glc,K11,562
Glc(b1-4)[Fruf(b2-3)]GlcOP(a1-4)Glc,K11,562
D-FucNAc(a1-4)ManNAc(b1-4)GlcNAc(a1-3)D-FucNAc,K12,83333
[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]D-Fuc(b1-4)D-FucOAc(a1-3)Glc(b1-3)D-Fuc,K12,83333
GlcNAc(b1-7)LDManHep(a1-6)Glc,K12,83333
GlcNAc(b1-7)LDManHep(a1-6)Glc(a1-2)Glc,K12,83333
