glycan_id,glycan,species,immunogenicity,inferred_origin,link
8614,Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0,,N
8615,Qui(b1-2)[Glc(a1-3)D-Fuc(b1-2)Gal(b1-4)]Qui(b1-3)Glc,,,Bacteria,
8616,GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,,,Chordata,
8617,Rha(a1-3)Xyl(b1-4)[Xyl(b1-3)]Rha(a1-2)[Rha(a1-3)]Qui,['Solidago_gigantea'],,,
8618,GlcOS(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,,,Bacteria,
8619,NeuNAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,['Helicobacter_pylori'],1,,
8620,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAcOS(b1-6)]GalNAc,['Homo_sapiens'],0,,O
8621,Gal(b1-7)LDManHep(a1-5)KdoOP,['Pseudoalteromonas_issachenkonii '],,,
8622,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,['Homo_sapiens'],0,,O
8623,GlcOAcN(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAcOAc,['Rhizobium_leguminosarum'],,,
8624,Glc(b1-6)Glc(b1-4)D-6dXylHexOMe,['Nerium_oleander'],,,
8625,GlcNAc(b1-2)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
8626,L-LyxHex(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc,,,none,
8627,Galf(a1-2)[Galf(b1-3)]Gal,,,Bacteria,
8628,GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc,['Escherichia_coli'],,,
8629,6dAlt(b1-2)6dAlt(b1-2)6dAlt(b1-2)6dAlt,['Yersinia_enterocolitica'],,,
8630,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Leishmania_amazonensis', 'Leishmania_donovani', 'Leishmania_major', 'Leishmania_mexicana', 'Leishmania_tropica', 'Strigomonas_culicis']",,,N
8631,[Gal(b1-4)]GalOPGro(b1-3)GalOPGro,['Actinomadura_viridis'],,,
8632,ManOMe(b1-4)Ara(a1-4)GlcA(b1-4)Xyl(b1-3)ManOMe,['Collema_flaccidum'],,,
8633,GlcA(b1-3)GalA(a1-2)Rha-ol,"['Abelmoschus_esculentus', 'Abelmoschus_glutinotextilis ', 'Abelmoschus_manihot', 'Alcea_rosea', 'Althaea_officinalis']",,,
8634,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['Bos_taurus', 'Gallus_gallus', 'Rattus_norvegicus']",,,N
8635,FucNAc(a1-4)Glc(a1-3)Glc(a1-4)FucNAc(a1-3)[GlcNAc(a1-4)]GlcNAc(a1-3)FucNAc,['Hafnia_alvei'],1,,
8636,NeuNAcOGc(a2-3)Gal(b1-4)Glc,,,Bacteria,
8637,D-Araf(b1-2)D-Araf(a1-5)D-Araf(a1-5)D-Ara,,,Actinobacteria,
8638,Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,['Apis_mellifera'],,,N
8639,Fuc(a1-2)Gal(a1-4)Glc,['Escherichia_coli'],,,
8640,Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)][Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc,['Rana_clamitans'],,,O
8641,D-AraHex(a1-3)[Man(a1-6)]Man,,,Mammalia,
8642,LDManHep(a1-2)DDManHep(a1-2)[GalN(a1-4)]GalA(a1-3)[LDManHep(a1-7)]LDManHepOPEtn(a1-3)[Glc(b1-4)]LDManHep(a1-5)[AraN(b1-8)][Kdo(a2-4)]Kdo(a2-6)[AraOPN(b1-4)]GlcNOMyr(b1-6)GlcOPNOMyr,['Proteus_penneri'],,,
8643,Araf(a1-3)Gal(b1-4)NeuNAc(a2-3)Gal(b1-4)Glc,,,Bacteria,
8644,Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-4)Man(a1-3)Man(b1-4)GlcNAc,['Homo_sapiens'],0,,free
8645,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol(1-3)a-Tri-ol,,,Bacteria,
8646,Rha(a1-3)Xyl(b1-4)Rha(a1-2)D-FucOAcOBut,['Solidago_virgaurea'],,,
8647,Glc(b1-6)Glc(b1-3)Glc(b1-3)Glc(b1-3)Glc-ol,['Pyricularia_oryzae'],,,
8648,Man(b1-4)Gal(a1-3)Rha,,,Bacteria,
8649,GalA(a1-3)GlcNAc(a1-3)Rha(a1-2)Rha(a1-2)Rha(a1-4)GalA,['Plesiomonas_shigelloides'],,,
8650,GlcNAc(b1-6)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,,,Chordata,
8651,Kdo(a2-4)[GlcNAc(a1-2)HepOPEtn(a1-3)[Gal(a1-4)Gal(b1-4)Glc(b1-4)]Hep(a1-5)]Kdo(a2-6)GlcN,,,Bacteria,
8652,[Gal(b1-4)Gal(b1-4)Glc(b1-6)]Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,,,Bacteria,
8653,"Glc(a1-4)3,6-Anhydro-Glc(a1-4)Glc(a1-4)Glc(a1-4)3,6-Anhydro-Glc(a1-4)Glc(a1-4)Glc",,,Bacteria,
8654,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,Chordata,
8655,Man(a1-3)[Man(a1-6)][Xylf(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Eukarya,
8656,GlcNAc(a1-7)LDManHep(a1-2)LDManHep(a1-3)[Glc(b1-4)][Glc(a1-6)]LDManHep(a1-5)Kdo(a2-6)GlcNAc(b1-6)GlcNAc,,,Bacteria,
8657,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,
8658,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)Man,,,none,
8659,Glc(b1-3)Fuc(a1-6)Gal(b1-4)Man(b1-4)Gal(b1-2)[Glc(b1-4)]Rha,,,Bacteria,
8660,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,,,Chordata,
8661,Rha(a1-2)[Rha(a1-3)]Rha,,,Bacteria,
8662,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GalNAc,,,Chordata,
8663,GlcA(a1-3)Man(b1-4)Glc(a1-3)Glc,,,Bacteria,
8664,Man(a1-2)Man(a1-3)[Galf(b1-2)[Man(a1-3)][Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Ascomycota,
8665,Gal(b1-2)Rha(a1-3)Xyl(b1-4)[Xyl(b1-3)]Rha(a1-2)[D-Apif(b1-3)]Ara,['Solidago_canadensis'],,,
